Date,Price,Open,High,Low,Vol.,Change %
02/06/2020,13574.82,13570.33,13606.97,13533.66,114.57M,0.72%
02/05/2020,13478.33,13224.27,13488.58,13223.14,108.45M,1.48%
02/04/2020,13281.74,13135.61,13282.63,13131.07,80.89M,1.81%
02/03/2020,13045.19,13033.17,13077.57,12987.53,81.39M,0.49%
01/31/2020,12981.97,13196.80,13208.47,12973.70,106.90M,-1.33%
01/30/2020,13157.12,13186.49,13262.18,13118.97,100.71M,-1.41%
01/29/2020,13345.00,13316.42,13371.30,13296.03,67.88M,0.16%
01/28/2020,13323.69,13274.01,13327.12,13163.36,91.83M,0.90%
01/27/2020,13204.77,13374.99,13399.42,13195.28,101.41M,-2.74%
01/24/2020,13576.68,13512.84,13604.85,13510.79,87.99M,1.41%
01/23/2020,13388.42,13455.90,13486.14,13382.23,90.75M,-0.94%
01/22/2020,13515.75,13601.65,13640.06,13498.03,73.13M,-0.30%
01/21/2020,13555.87,13456.90,13560.68,13443.25,64.63M,0.05%
01/20/2020,13548.94,13503.83,13550.83,13487.21,52.88M,0.17%
01/17/2020,13526.13,13513.48,13557.78,13497.30,86.34M,0.72%
01/16/2020,13429.43,13463.46,13492.74,13382.98,39.61M,-0.02%
01/15/2020,13432.30,13444.95,13458.91,13388.48,72.05M,-0.18%
01/14/2020,13456.49,13439.20,13487.90,13362.20,74.56M,0.04%
01/13/2020,13451.52,13521.86,13529.21,13404.72,67.21M,-0.24%
01/10/2020,13483.31,13533.46,13548.20,13483.31,77.94M,-0.09%
01/09/2020,13495.06,13474.76,13523.34,13456.78,86.97M,1.31%
01/08/2020,13320.18,13140.49,13334.04,13106.27,88.18M,0.71%
01/07/2020,13226.83,13199.59,13283.88,13166.40,78.28M,0.76%
01/06/2020,13126.99,13085.49,13143.11,12948.17,71.78M,-0.70%
01/03/2020,13219.14,13266.39,13282.74,13120.72,80.79M,-1.25%
01/02/2020,13385.93,13233.71,13425.03,13225.16,75.34M,1.03%
12/30/2019,13249.01,13301.43,13316.62,13244.17,31.43M,-0.66%
12/27/2019,13337.11,13338.32,13381.44,13311.52,43.76M,0.27%
12/23/2019,13300.98,13304.77,13331.86,13285.55,56.22M,-0.13%
12/20/2019,13318.90,13210.26,13324.11,13201.80,170.72M,0.81%
12/19/2019,13211.96,13226.70,13248.98,13140.22,84.02M,-0.08%
12/18/2019,13222.16,13266.35,13286.00,13215.88,71.00M,-0.49%
12/17/2019,13287.83,13391.27,13394.47,13269.43,79.26M,-0.89%
12/16/2019,13407.66,13349.86,13425.85,13338.38,71.20M,0.94%
12/13/2019,13282.72,13383.26,13423.41,13255.55,106.14M,0.46%
12/12/2019,13221.64,13167.56,13287.81,13105.07,84.00M,0.57%
